"ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS"
"TU0056_CD8_HC",2.18559803273238e-08,1.5005586741314e-07,0.0994680898762157,0.883033254707677,1.203265930694e-07,1.27560128396655e-08,0.0174983483517528,2.06990124798384e-09,3172.42857142857,12859,7316.42857142857,59.5,599.375,93.4285714285714,0,89.6,1.09090909090909,59.25,-1896.49730779195,3725.29636284208,1828.79905505013,0.642198283204543,2.09789682057978,0.918260357635329,-0.57298511232372,-0.0826200053697781,2.36055206052161,8
"TU0057_CD8_HC",1.33037914222148e-08,2.81574149466472e-07,7.59742666842183e-09,0.77013488558642,1.88296378250405e-06,5.6232136079059e-06,0.229857290649067,1.51117554620326e-08,3391.28571428571,20912,16202.5714285714,12.75,668.625,102,6,125.933333333333,0.575757575757576,91.375,-1958.91665059733,3724.05153177254,1765.13488117521,0.649333564092434,2.23792258923444,0.916480651638442,-0.613576773874886,-0.315452669761662,2.22537379723633,7
"TU0059_CD8_HC",5.49075551935413e-05,1.96560503514448e-08,1.82983522503066e-06,0.883596903049228,0.000128400427296759,3.14299627253903e-08,0.116217903703112,4.34393157975551e-09,3505.78571428571,21794,11279.4285714286,123.875,555.5,19.5714285714286,2.2,96.4,3,104.75,-2017.82928810788,3689.92580792383,1672.09651981595,0.659658850899595,2.16412284384914,0.918736563373715,-0.586497653668494,-0.0551123491483026,2.44124940440606,8
"TU0063_CD8_LTBI",1.98713339401262e-10,1.3603589622309e-08,1.65412151779968e-06,0.945929957723927,1.31683879035867e-09,1.76624490553165e-08,0.054068349913708,5.45925623439505e-09,3766,18507,7926.85714285714,122,357.625,33.5714285714286,1,100.066666666667,4,44.375,-2016.55849783414,3736.16983078357,1719.61133294942,0.65440096479015,2.13322894409053,0.946694784812094,-0.593550035658114,-0.119868909216895,2.36650478402762,8
"TU0070_CD8_LTBI",9.7830428112991e-05,2.39302558874941e-05,4.32907381824249e-05,0.923391484864666,6.05889688800804e-08,2.42603036580786e-05,0.0764191426695735,1.50950166708567e-10,4248.35714285714,26077,11183.5714285714,111.75,913.375,71.7142857142857,0,114.4,2.21212121212121,161,-1924.29250846676,3722.73223918251,1798.43973071575,0.645607894918865,2.13118121377571,0.891106206081766,-0.659107287088176,-0.0486482846557512,2.31453184811355,8
"TU0071_CD8_HC",1.71739398948167e-06,1.35924894909391e-07,0.183692899457032,0.695003877693971,1.50235047572849e-06,1.52355031759549e-08,0.121299836184697,1.57594362833913e-08,3485.14285714286,12641,10649.4285714286,42.125,631.125,84.7142857142857,0,66.9333333333333,1.39393939393939,47.75,-1871.51276402807,3824.1732307287,1952.66046670063,0.628156151817407,2.11774453702885,0.898884380740779,-0.643196338006672,0.0858111073884212,2.45924368715137,8
"TU0075_CD8_LTBI",8.50180453673119e-10,3.91135957089897e-08,0.00174896414249593,0.962906824100832,3.84566599456841e-09,7.13015912994579e-10,0.0353441613058043,5.92841003906974e-09,2981.78571428571,19988,5398.42857142857,81.375,303.25,9.42857142857143,0,88.8666666666667,1.3030303030303,56.875,-2038.2275573852,3602.42422775281,1564.1966703676,0.671479239647354,2.06238689294197,0.919717384097947,-0.525869086294349,-0.223718291105715,2.23251689963985,7
"TU0085_CD8_HC",2.30120339818842e-05,1.51267394533422e-06,0.0718924913553004,0.874581496623519,8.58004031683414e-07,7.17999998426552e-06,0.0534931967121962,2.52597041123859e-07,3310.07142857143,12428,6965.71428571429,67.625,642.125,37.2857142857143,0,87.6,1.42424242424242,224.75,-2004.48203613675,3721.4135765905,1716.93154045376,0.654698354275965,2.10976806281375,0.915238188273773,-0.477590134315806,-0.0496624968700361,2.49775361990169,8
"TU0094_CD8_HC",5.77077569687406e-08,1.17786461577537e-07,0.0708162994876849,0.911957242473171,1.11970597454092e-09,7.98368001014282e-09,0.0172262734059914,3.5548236703468e-11,3622.57142857143,16202,7060.14285714286,60.25,349.625,43,1.6,101.4,3.06060606060606,132.875,-1863.33380176313,3802.41191172671,1939.07810996358,0.629706200213385,2.05087681190203,0.931109046289917,-0.612953178097361,-0.179340119280743,2.18969256081384,7
"TU0110_CD8_HC",4.0447594198448e-08,1.05300412811503e-09,3.36970844860053e-09,0.806123998309681,5.20220974865998e-09,1.24817200641044e-08,0.193875938168578,9.67503958852353e-10,3096.71428571429,20622,13909.5714285714,35.375,1168.75,102.428571428571,0,108,2.90909090909091,209.875,-1913.74133065606,3726.98735730866,1813.24602665259,0.643946618799678,2.17414009958806,0.916503763833999,-0.662111496968329,-0.19288193415457,2.23565043229916,7
"XT0082_CD8_HC",1.61802757515103e-05,1.58370941451471e-06,5.39122197306297e-05,0.936419243163108,2.67528402595527e-08,3.58839471700032e-09,0.0635083719180172,6.78372743038132e-07,2901.64285714286,18037,9725.71428571429,14.375,685,58,4.2,69.8666666666667,1.27272727272727,61,-1866.31218657524,3769.08183854828,1902.76965197304,0.633837495292382,2.14922002018475,0.922095366774524,-0.666182836730139,-0.173003021925676,2.23212952830346,7
"XT0106_CD8_HC",1.20754516839586e-07,9.81034396727504e-06,2.68194295446642e-05,0.932074530586568,2.93435531360419e-06,2.85121400643082e-08,0.0678857074375723,4.85803774480539e-08,3396.5,20564,10962.8571428571,17.25,558,46.4285714285714,0,68.9333333333333,1.75757575757576,155,-1827.64449009901,3728.29977264299,1900.65528254398,0.634077521538411,2.16931316971749,0.906544632769112,-0.67631352773921,-0.248618093398586,2.15092618134881,7
"XT0123_CD8_HC",3.95558455397996e-07,2.31635894233228e-09,1.62931172610834e-07,0.844782329313226,4.64943263899046e-07,1.83308666189817e-08,0.155216415941663,2.10664993139666e-07,3275.5,22292,12618.5714285714,65.625,562.625,38.1428571428571,0,66.0666666666667,2.36363636363636,54.5,-1959.89617892075,3726.79186880586,1766.89568988511,0.649136977825369,2.21082004332124,0.901960893942131,-0.620422717022763,-0.25214624116007,2.24021197908053,7
"XT0134_CD8_LTBI",3.87339051650176e-09,5.25220866241725e-08,1.42573970583603e-08,0.943072332864195,1.36431445837951e-07,1.62015450684464e-09,0.0569274561222092,2.30912083537435e-09,2987.07142857143,20212,9820.71428571429,67.375,1456.5,47.1428571428571,0,77,5.33333333333333,60.625,-1890.60668843549,3803.5884049286,1912.98171649312,0.632677347944617,2.10371134417088,0.917877688186601,-0.589187340318883,-0.220109426651114,2.21229226538748,7
