"","TP0003_CD8_LTBI","TP0004_CD8_LTBI","TP0005_CD8_LTBI","TP0008_CD8_LTBI","TP0015_CD8_LTBI","TU0084_CD8_HC","XT0101_CD8_HC","TU0079_CD8_HC","TU0119_CD8_HC","TP0001_CD8_LTBI","TP0007_CD8_LTBI","TU0146_CD8_HC","XT0103_CD8_HC","TP0013_CD8_LTBI","TU0005_CD8_LTBI","TU0010_CD8_LTBI","TU0013_CD8_LTBI","TU0021_CD8_LTBI","TU0022_CD8_LTBI","TU0024_CD8_LTBI","TU0033_CD8_LTBI","TU0035_CD8_LTBI","TU0046_CD8_LTBI","TU0050_CD8_HC","TU0052_CD8_HC","TU0053_CD8_HC","TU0056_CD8_HC","TU0057_CD8_HC","TU0059_CD8_HC","TU0063_CD8_LTBI","TU0070_CD8_LTBI","TU0071_CD8_HC","TU0075_CD8_LTBI","TU0085_CD8_HC","TU0094_CD8_HC","TU0110_CD8_HC","XT0082_CD8_HC","XT0106_CD8_HC","XT0123_CD8_HC","XT0134_CD8_LTBI"
"MVK",14.7684296733933,12.4374345044333,8.53724669422121,5.33540315210889,13.7028265913971,10.1643907709826,3.36764618783237,5.68371394453102,5.61130242768478,19.2400457146738,13.7699991959106,9.30145138376995,13.084986734758,13.5083949738975,8.93430933444367,11.765154592819,14.3005272673956,5.73297946679522,9.60693861400659,14.0115293762649,13.222572095761,10.7551002391418,17.6883894967639,13.4941690289879,16.5286538979852,14.2819091764912,15.94532870942,20.0105904392406,12.230703229845,15.7241915168233,18.3545048048056,19.5746291231974,14.9764143867012,10.5727544124694,13.4901639352456,19.6435029497769,12.0392474302807,14.3211973853834,7.15921386670922,3.68425399525755
"MVP",128.781969010936,140.055162567619,131.432737055547,80.5587733754605,172.525085696239,100.025281317782,131.948263384873,119.068054391018,87.4003250533122,232.08501563545,190.610745437039,170.527294581217,185.149132301734,209.955006275712,195.788745603546,223.855360727074,233.340757773193,166.772564427517,236.26613360868,202.911178480963,241.488079351584,279.997408608874,242.433379680781,229.286600426699,223.025564889223,237.506372129473,263.516045658256,272.810201342771,229.944101566784,227.975710235446,232.679011284043,178.494371706605,155.903107917711,175.04064697033,249.138785339099,231.011648947869,233.028678962137,199.617159395252,142.016474183373,169.245791208314
"MX1",40.9957342629209,14.6785587832907,19.5227926844646,14.4675638007765,16.2985912128146,16.8049833483845,28.5999039496885,53.4606523825628,14.6081152123975,14.2930133518896,33.0764745187331,28.755352821344,19.609088260323,41.7195232114053,46.4541242325244,35.507743713539,37.6572000869148,30.7929773312896,41.187173183155,10.9917375787966,37.2706668073246,119.136818542164,45.846497374136,35.5198280648299,29.7524262364744,24.8209980485206,25.7528391610404,42.1157986000884,41.4164631113982,30.2648699070862,38.1698184260429,24.2807618592838,28.2056346397278,23.2708900357988,40.2265843081677,24.2170254241387,32.8483593485959,18.903728524841,19.1999944414983,16.5585888487932
"MX2",23.0800184299263,12.8142490447237,15.4796231268846,11.4073557778262,18.8930036224292,21.3823972492411,11.5508413887602,30.7794970534603,20.5542213468307,10.1519515588502,32.0642628160101,25.5734797795528,20.7010999848064,37.3528486516226,27.9646486922995,25.8275511304426,19.5426754351662,10.6058750575399,30.7877467160348,13.4558418923513,11.5980437364335,35.5919998906568,16.9939417481722,31.2110805805501,36.5146086492058,19.1762823589826,12.3757778868717,19.9701294651657,31.5150294379813,27.0057965785429,40.1867361950572,22.8482707382376,31.7162742147242,28.4760002942986,31.2253664817104,23.3645853168905,32.2164242115555,25.1273545491782,8.58314336465055,13.5616070495407
"MXD1",7.94621445262825,10.648369904421,9.9423890422375,5.34377385538073,9.60580738716151,5.2407493913771,7.06901430183568,15.7534999266971,8.35418404283162,8.79166530193983,4.84654439280274,11.9357375396505,6.85073736590512,8.58091313055728,8.03435700732453,12.1972202974656,7.45353831079924,46.7439005127557,10.6219480879398,9.97463060523864,6.37627122169547,13.2643212456787,17.5847430539911,4.62610210541792,10.5555565865059,16.8441140782415,11.5730667763154,11.3368028287015,11.944410681121,13.3272396032828,7.18625604782585,10.3016081459982,6.19806974400482,13.2842344070818,1.81154316178176,12.4167711294784,10.4415287398625,7.27443831802081,7.48858002599386,5.53493252513817
"MXD3",3.80564907195165,3.324521740436,3.63234519262089,4.68198999473231,4.97004992739245,2.48505819246932,10.75371425817,4.57346542734432,2.74113792817275,5.95547322732707,3.33475025849231,6.89974437016039,10.9326657116232,4.24170709791002,4.20985690201861,5.66564287044569,5.870960619336,5.88845131919495,2.65987637714918,5.14324633271936,4.12559557720127,4.74476208149183,4.6689872028212,7.84391544119844,5.27939095542651,5.360747080642,7.04271247773516,4.30803976281215,3.98518965999106,2.4974642641365,4.48548586284739,5.84507880079556,1.50104382080811,4.63896813086913,2.39292136788108,6.85894288729746,2.58072223171602,10.8364889320945,8.75214970653498,6.30387364895102
"MXD4",56.8437659309541,67.0274675308124,48.5218198190547,43.1813087389825,34.3758602628985,36.5019345881046,31.9446817975554,33.2555958337437,36.9351552202036,63.9131355838259,60.0813198933208,60.6429697068427,65.1941566713711,13.2204941306393,12.4300223073056,38.0101310985225,41.3753030092243,34.8657463413432,43.0247411968021,57.3545394151905,33.3994297473244,10.1636701575123,42.6553480096596,34.057625984173,50.4733577783958,42.7428756725192,24.8666392025386,61.7440699426494,47.9429456521274,50.6048956381962,54.8565707689038,28.1501440575095,24.3248911416273,51.5714535839242,51.8716891442268,49.8733493133939,15.3046998930111,25.0276303280072,39.8274661715102,36.0973648556716
"MXI1",60.2169942147375,35.214308203145,35.159771904616,23.3381369892395,33.2912274028785,22.9373737959433,22.435639220395,34.1020657124764,36.4410994332218,15.2915724593248,28.3351963095217,52.3876451807202,39.1312017652878,15.447509243939,12.0705006672994,44.0173986766703,25.4198692724708,66.8833983695682,25.0905474738901,22.7934513089636,18.7647291132865,24.8771708538447,18.2541490239512,20.948504636263,21.5834881313431,36.5479591874674,15.1030435863359,20.0726998128444,41.7780134674107,27.02359302658,16.2805257200074,22.9501607106704,41.8695259328258,37.5354447123018,32.6118858420466,20.0041734837717,13.6116365223513,32.1379147154687,27.668963367472,33.2488462872247
"MXRA5",0,0,0,0.0183329654923162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MXRA7",14.8087703210846,5.79478411828063,5.68679766456636,4.43004197372807,4.62608348757572,5.17362261149221,3.31507351278092,3.96590965902407,2.85670338022874,8.03074114105894,8.27897496314028,2.12318735266675,11.3674600215636,7.25849577314626,0.958925743328423,3.73042741406236,5.52525196378399,9.55871317526346,4.32895705719173,1.4608284833753,2.9791288427408,7.34086199301785,6.95767599996396,8.32422754121906,8.56708084674682,4.47092163776832,1.90590334770961,2.30212042364899,2.39602656642206,5.28158393615342,5.54960146053925,1.04723084517169,0.985467070593126,4.14045537806007,2.93029170330544,4.08799676432786,1.98872155037685,3.42952962948307,3.9449955036952,1.32386984326647
