"ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter","StromalScore_estimate","ImmuneScore_estimate","ESTIMATEScore_estimate","TumorPurity_estimate","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC","MHC_IPS","EC_IPS","SC_IPS","CP_IPS","AZ_IPS","IPS_IPS","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"TU0033_CD8_LTBI",404.79921483108,645.325689424784,752.378317574265,3.46462212213688,54.3889656703447,2.03860144833559,0,4.72110054265355,0.139823889280315,5.20360275224366,-1870.57102218385,3337.33180089004,1466.76077870619,0.682008656539591,0.000330998586012356,8.09846851097757e-06,2.93326374905754e-05,0.598344064481189,2.29835251289813e-07,3.84467777225372e-10,0.150890607024687,0.250396668582391,2.73762483825841,0.956003195989353,-0.581747246316221,0.196423917621578,3.30830470555312,10,0.00164060442939292,0,0,0.739579248977726,0,0,0.00553852435540466,0.0359333944661884,0,0.125635393184479,0,0.0723133460798908,0,0.00293693869932664,0,0,0,0,0.0128851908329258,0,0.00263850422472965,0.000898854749936893,0,0.712084242819771,0.709190062933308
"TU0035_CD8_LTBI",389.378926977916,542.182834877705,1275.27118936881,4.81518732564394,54.9664709091718,2.89126695865726,0.296170488458321,5.99238264957445,0.270405182192967,6.92464186168722,-1565.02876394984,3466.96422400919,1901.93546005935,0.633932201246884,1.05521780452412e-06,1.93539984135703e-08,0.150838751728648,0.495344109852039,6.34076084990951e-08,1.98464557751441e-09,0.35381015939425,5.83906100594391e-06,2.64273000916182,0.923340074402847,-0.651427053598293,0.0689030307680733,2.98354606073445,10,0,0,0,0.854385171521493,0,0,0,0.0159081207589463,0.00510456735314181,0.0432870632428284,0,0.073533872167072,0,0.00349249337127018,0,0,0,0,0.00272888854590288,0,0.000316625295447262,0.00124319774389806,0,0.678286432807596,0.75056839569495
"TU0046_CD8_LTBI",395.236333587908,482.898308182291,1341.39733921291,2.78792744212589,35.108324083637,1.89720133211964,0,3.64430833859541,0.23897534917473,2.85607391091505,-1787.16179660473,3356.64817780758,1569.48638120284,0.670903656214161,2.24100192764891e-08,4.27939390055526e-09,0.00741208646999696,0.419890191357136,4.11653546711737e-07,1.41359376934905e-05,0.410024431610806,0.162658716281407,2.75453221724961,0.92608301456314,-0.586314145128692,0.134209507305268,3.22851059398933,10,0,0,0,0.737853011198578,0,0,0.0308956441910657,0.0147044027947152,0,0.130447136081059,0,0.0555921986085181,0,0.0119014532441536,0,0,0.00129374295134534,0,0.0173124109305657,0,0,0,0,0.686751192942506,0.734912530381406
"TU0050_CD8_HC",376.889885469566,666.6679677811,439.449066423412,5.43995988708677,24.9545940194741,0.688919733980494,0,3.06188942318705,0.17507119466281,3.17479562074935,-1984.04407148074,3224.97349168877,1240.92942020803,0.705873162135306,8.88393398317853e-10,6.3639728705068e-07,0.0981894966775722,0.604615121911554,4.94013106339913e-08,2.80691373692021e-07,0.0695343533087182,0.22766006072379,2.55136646081006,0.914350909464464,-0.512461590973207,0.150025154430019,3.10328093373133,10,0,0,0,0.552112321726317,0,0.152138861677804,0.00499747182652921,0.0149070274379991,0,0.195243616278114,0,0.0437397134388132,0,0.0146838218629431,0,0,0,0,0.0198653520966687,0,0.00119139979234191,0.00112041386247,0,0.741215195495183,0.671558277862941
"TU0052_CD8_HC",365.548048225709,441.34038915751,1376.10839569544,8.11533723960738,45.09035209079,2.42542409722087,0.510307277524003,4.29523839659439,0.0164232073348123,9.54557953895675,-1520.2358941411,3521.96971588012,2001.73382173902,0.622535029675107,0.00153892907955636,2.31194279995376e-07,0.072396002587209,0.410910396916122,1.08712056949511e-06,7.54325658772573e-07,0.394999752722621,0.120152846053983,2.55185641859725,0.89505987507412,-0.74800876282121,-0.0103195816678555,2.6885879491823,9,0.00291444702570258,0,0,0.714233327680749,0,0.00386645675251183,0.0778231498241542,0.0208150773930516,0,0.146619548592774,0,0.00648292047636155,0,0,0,0.00522695898293039,0.0013093955932637,0,0.0185263372397384,0,0.000863114653592108,0.00131926578517005,0,0.666681502995806,0.751435310222712
"TU0053_CD8_HC",380.120412638246,519.167830057295,986.580695688208,3.03097210697885,20.600720661724,1.34767436990075,0,3.02302890449066,0.175941346090104,5.6496561913552,-1884.59094600739,3305.98521244853,1421.39426644114,0.686863721919639,1.40858660719326e-09,3.83024173780141e-05,0.136283725831659,0.46240696993243,1.98262637282284e-07,1.06764708128752e-09,0.280095924374699,0.121174876704963,2.56060579572755,0.944974811817616,-0.555280121977134,0.23959228853166,3.18989277409969,10,0,0,0,0.711029041089985,0,0,0.0538386679491386,0.0126499327989674,0,0.194352970155419,0,0.0199491016653243,0,0.000998561624533815,0,0,0.0026123730858203,0,0.00324687859197059,0,9.54579159016525e-05,0.00122701512293925,0,0.693856722375504,0.728122273073222
"TU0056_CD8_HC",389.515324804708,431.17893296914,535.270430245329,3.76117443795146,44.1070859139782,3.14456405788713,0,3.37612228730177,0.0615515561772969,3.01150155349704,-1782.26801238728,3342.99724952815,1560.72923714087,0.671856317968724,0.00691963268198602,1.37245069172004e-08,0.151375453430655,0.435666139030506,3.47356136400719e-08,1.8728516797874e-08,0.0689958262428164,0.3370428814254,2.64801339659307,0.929598738049864,-0.580019603379096,0.109166510150298,3.10675904141413,10,0.00376753203882296,0,0.000543212147345447,0.631681518698802,0,0.0157894585594138,0.0129487212033721,0.0246698427037092,0,0.230820652555378,0,0.0449053183482903,0,0.0123031171815981,0,0,0.00124241678074308,0,0.0211058112756933,0,0,0.000222398506831995,0,0.716362310470997,0.702086727908333
"TU0057_CD8_HC",405.057208362649,677.583870389939,1780.80351961031,0.707593597039329,48.6174149241927,3.39403322190454,0.657915867129285,5.03978322092029,0.0183361386789836,4.48174587256055,-1834.7668355953,3374.71857822945,1539.95174263415,0.674112190652236,2.73545311590628e-08,9.99906884930478e-07,4.79391591750971e-08,0.489933122949746,2.26432588936959e-06,8.56861436644888e-11,0.510063500801317,3.66367859230889e-08,2.86450789651753,0.929898716458272,-0.627751340811092,-0.116489925670168,3.05016534649454,10,0.0120345843922525,0,0.000242069978140239,0.688511313131551,0,0,0.0832420340180718,0.0184920705676577,0,0.150918926454071,0,0.0372505257489905,0,0.000297133665862756,0,0.0023142889806606,0.00493022380247271,0,0,0,0,0.00176682926026928,0,0.643911957741831,0.775778232806039
"TU0059_CD8_HC",392.865444183802,682.934232340412,994.199867243739,5.74004600986953,38.4466656835154,0.609703878361861,0.233300805274183,2.88772267043334,0.0431475756437027,4.95766266809548,-1877.93846372091,3316.3926285482,1438.45416482729,0.68504155557809,3.67831118263908e-07,3.20115263556709e-05,1.08826345464102e-07,0.597144094033196,9.85840984194604e-08,2.18370770553111e-09,0.267060089972972,0.135763227042207,2.75936644154174,0.931823295875275,-0.550437776869123,0.172226471634195,3.31297843218208,10,0.00745625041858037,0,0,0.710681717063444,0,0,0.0414656312648711,0.00939890582143187,0,0.19040767020133,0,0.0146504686376029,0,0.00977889688742506,0,0.00164675151358519,0,0,0.0134352775573816,0,0.00107843063434825,0,0,0.712550435726118,0.705725652036583
"TU0063_CD8_LTBI",393.563419629794,533.039840701541,596.631285172925,5.62795720220938,21.8496847339496,0.93670772715827,0.0974709651949745,2.57809537091582,0.268324804352221,1.93509802299838,-1842.11951276176,3374.19975840735,1532.08024564559,0.674965185217233,1.10607580721223e-09,2.38446790388131e-08,0.127895627453751,0.504604139424936,7.56772540055782e-09,4.63918799613611e-07,0.13706278738634,0.230436949297693,2.73156065581641,0.955085497997309,-0.593222536641572,0.134238823794334,3.22766244096648,10,0,0,0,0.574988258684326,0,0,0.0499686680130023,0.0187398240083876,0,0.302184301691741,0,0.0382311423442438,0,0.00478023555232898,0,0,0,0,0.00436551757523579,0,0.00491219966192681,0.00182985246880796,0,0.729501624294916,0.688302189137238
"TU0070_CD8_LTBI",425.086143027158,705.838827150885,842.170278448171,5.7640382236149,57.2887484842719,1.95462293324408,0,3.708301454368,0.127090027302882,6.58501651575047,-1808.13218645966,3362.68823944395,1554.55605298429,0.672527211937875,0.000172281103624157,4.07720508234336e-05,2.20974272208377e-05,0.656824266848301,6.42166020328034e-05,1.86901372417237e-09,0.192412180185379,0.150464183913604,2.74737811459042,0.9067362228614,-0.627196980871678,0.167868413274703,3.19478576985485,10,0.003597590747277,0,0,0.724562157197141,0,0,0.0479859382071193,0.0213447900148256,0,0.148882964627673,0,0.0196019569368083,0,0.0100195473731964,0,0.00278674160877457,0,0,0.0183730632498953,0,0.00229965477419893,0.000545595263090131,0,0.711063508318046,0.705950070954871
