"","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5"
"ACTG1P4",14.0481955670146,14.514716359076,12.4765495205023,6.67123215941735,21.7746873103222,22.6096481650539,10.6895521898267,4.18002962404868,14.1965671881021,12.1235559189808
"ACTG2",3.43076207433226,4.81120940473963,0.311163352571316,5.44129179008187,6.91514154782348,4.44234854026691,6.26713232382829,3.74397643322387,7.3875402087959,21.2262186659272
"ACTL6A",0,19.228275196053,4.92994427555065,0,3.04140313088769,4.19546086775268,1.9603195193194,3.7204872579748,3.37496155214831,4.2121440213208
"ACTMAP",7.05584122579933,4.60135714425776,0,13.8425666910198,28.0055918505806,7.72763732497386,0,0,0,0
"ACTN1",40.9268215195053,30.5953513120401,81.4734868058365,38.775696787414,7.16162019059515,4.65371169601764,1.71336719693896,1.43002735671093,22.8600522737323,5.67884731474893
"ACTR1AP1",0,2.2880976982242,0.665095152357077,3.45291941767519,5.57449845449381,0.827373028281189,2.13029490601377,1.43308731704082,0.36830360589616,3.32143751337195
"ACTR3",28.1607975216974,7.02607943886609,3.78368647734936,8.52792222609719,27.6999887012827,4.69338731517455,1.59662687176617,4.53687759893573,3.06210484302338,2.55844280561613
"ACTR3BP4",1.18160263487207,3.24046780046388,0,0.560100605738705,3.23364573243945,2.34257686182521,0.384360543976856,1.77154015468462,2.53778003601234,1.83731135957642
"ACTR3C",4.81210273735745,2.19432606222012,2.81880705681163,2.96836693896383,3.83151985292713,6.56440237577079,2.0347749433102,3.30136113094018,2.57183286981043,2.51218660047407
"ACTR6",2.18468443215887,5.84764355186281,0.0948198316949559,9.76259313531473,0.286586278579901,0,5.09876579796962,17.5392327324782,8.19244556072325,3.36417564093982
"ACVR1",1.80615108788791,1.61226054050605,2.01554234104842,1.83303736726954,1.77306858687988,7.0665313855331,5.31113941221431,1.15341048041559,2.34649194354658,4.92149269961205
"ACVR1B",5.86004805079326,8.19039519333035,7.95325778712328,18.9730947967703,8.50492971954643,0,0,3.41226258335861,6.59107403741851,29.0460860899901
"ACYP2",2.49569605741696,8.37461366668832,4.33814381382756,7.66073464276717,16.2386855201152,14.5501799483419,6.60245088191166,3.71461496416254,7.90099772015138,8.81870362845857
"ADA2",181.356859575215,79.6105591853772,302.521431187695,30.2312645087581,506.656265201528,30.9650796904271,119.223390897608,40.6841889758847,331.319889109813,54.0417666562366
"ADAD1P2",0.136539346028272,1.94866038417924,0,6.95335500079939,6.67114417153303,7.57128485259373,0.0148457542508291,5.75171722516459,0.401231215620917,4.37220724386269
"ADAM10",10.9307919093939,0,11.1597639885766,16.2535261533857,13.0169461634028,9.35761399370114,0,11.187214966065,10.9965779793563,9.8038584200657
"ADAM12",0.00222327611383859,0,149.812075361912,0.117443849052122,0.0214425864570347,0.0465026387956691,0.0563798682426524,0,89.8415025760087,0.108464751453845
"ADAM15",6.90589360345488,12.8650005251343,9.9917168290885,41.631022558008,7.07357226434023,0,20.6576970504762,10.9275959040877,14.156103538202,10.1573042241854
"ADAM19",19.5092478989336,8.49549677810526,36.9579626144277,15.8863941052122,10.5531966828723,4.43598466015138,2.72486169744106,8.51395933382188,18.9517493164064,8.30154622505336
"ADAM1A",1.38720077969562,0.719121110515823,0.860441972624039,1.38979514772627,1.42582089790857,2.27475265164518,0.984451995860083,0.594322121644598,0.692294111115072,0.93182520298258
"ADAM1B",8.09964191339329,9.94055278402493,5.56063795450995,14.534677461685,16.0644969097514,26.0622846974888,9.92985471395101,1.60140282281654,13.8343634811297,14.1829715199073
"ADAM20P1",7.10307898125509,12.6956205050114,8.92601097038953,22.1873092985156,14.170735077166,23.5694619436639,5.29380047786029,3.13240887041373,14.6812130409484,21.6055381622591
"ADAM22",2.01361568673296,13.0338674590458,4.53275081746231,0,5.24786009084779,0,0,0.454466015700018,4.99787519422532,18.8141762842315
"ADAM28",0.5359056109215,0,1.25550405422435,0,1.63563605088323,2.14557103129468,0.477231502820783,12.8867487710214,0.863446614900231,0.927562558726028
"ADAM29",0.773658915835943,8.22992335506023,0.467264661967693,3.98288039555147,1.65070881891089,4.79695903522186,2.65162453190977,2.97928704049565,0,8.92923455245598
"ADAM32",0.421818608857672,0,0.356168864364111,2.13747805274862,0,1.85430773112852,6.89260888221675,3.15232514400594,0.479508316616776,3.93818071054378
"ADAM3B",2.06236307411786,7.0784142324337,5.04470392695185,9.12717858769136,5.83116139998686,10.7736030493794,3.17162257297793,9.18631928769457,5.10497875931025,8.39314654115158
"ADAM8",56.6570764298317,0,0,0,0,0,0,0,19.726258812774,0
