gene	log2FoldChange	pvalue
CLCN4	0.185419979	0.555048564
SDHA	0.52636513	0.03971895
SMARCE1	0.765760464	0.049522624
FNDC8	1.025240164	4.98E-01
GSDMB	0.72531369	0.080997557
KDM5A	0.231148388	0.254495479
PPP2R3A	0.27358381	0.493911253
IGF2BP2	0.071784529	0.853896266
MAP3K13	0.003663955	0.993184747
ST6GAL1	0.298022861	0.607495251
TBX21	1.834514951	0.005773542
FRY	0.546357649	0.324217721
PICALM	0.226189289	0.499004451
CLASP1	0.182645835	0.304232548
PPP2R2C	0.765996324	0.635223062
TEAD2	0.42724134	0.349916212
EED	0.331623468	0.265290779
CDHR2	0.82972966	0.197934006
TSG101	0.313637213	0.183014081
NCBP3	0.303043071	0.145010016
ATP2A3	1.160209171	0.04694567
CA12	0.228472992	0.635586009
NTN4	0.361317374	0.374745521
NUAK1	0.535058617	0.12737146
DPP8	0.284452217	0.185581694
SLC24A1	0.173899192	0.710968614
IPCEF1	0.842568639	0.126496711
ZZEF1	0.069681639	0.835975606
NOX3	0	1
TUBE1	0.233025309	0.540254434
TXK	0.883597805	0.174910818
ACTR6	0.422643818	0.123927148
SEMA3A	0.393708913	0.480395385
SEMA3C	0.145238118	0.741746642
WNT8B	0.01176386	0.991670466
ZNF638	0.218315346	0.54258779
SLC25A40	0.069806088	0.763889991
TIMM21	0.407615536	0.242973309
ADD2	0.745951137	0.316451032
FGF4	0	1
VPS9D1	0.074346757	0.815993931
ZNF37A	0.455615154	0.305002445
MARK3	0.080679741	0.678675144
FOSL2	0.366513463	0.28634702
CACNG5	1.05803441	0.531942816
CACNG4	0.70848371	0.432999936
FRYL	0.238381633	0.485465707
TMEM131	0.189977741	0.450278632
ATP12A	0	1
WDR62	0.127046912	0.830002914
DLG1	0.343737618	0.179893792
SEC31B	0.678531835	0.043942881
SART3	0.251872699	0.196151538
ARHGAP15	0.911528477	0.203880395
TUBA3D	0.451488487	0.382148555
PAX2	0.495355393	0.875464745
EXOSC7	0.014479059	0.92695962
MKRN2	0.262979329	0.242804178
MCM6	0.24105812	0.42775804
RBM7	0.36413643	0.34096529
BAZ2A	0.308478008	0.181803556
KLHL20	0.517547692	0.050069266
ANKRD13A	0.480256388	0.154683459
TPD52	0.220124296	0.62941111
ACACB	0.256023121	0.424226762
TRAF4	0.55787487	0.21517566
PAG1	0.64077219	0.156510568
GPATCH1	0.39269789	0.145583247
ICAM3	0.531823056	0.38767532
NT5C2	0.243833741	4.80E-01
MCAM	0.246563425	0.61106438
MBNL3	0.01325142	0.978340684
XAB2	0.323482354	0.268634179
ARHGEF1	0.373055266	0.401472023
MAP2K7	0.267662282	3.53E-01
NMRK2	0.818463552	0.367983309
DGKD	0.324134421	0.361196091
ACTL6B	1.921686976	0.469290019
RARB	1.133094605	0.185647596
TOP2B	0.201538573	0.595948879
TM9SF3	0.090282606	0.746556515
PPP1R12B	0.603816956	0.296139798
GTF3C1	0.174919758	0.468003538
IL4R	0.52230879	0.379388606
USP33	0.045790622	0.789099624
DCX	0	1
APBB1IP	0.253360712	0.701666637
LRCH4	0.022428438	9.36E-01
FAM76B	0.587228255	0.152063437
TYR	0	1
POLD3	0.357054934	0.162394555
NAALAD2	0.233075228	0.557800886
JADE1	0.309611432	0.279702045
FGFR1	0.210477151	0.449480972
SMC1B	0.087993052	0.923294175
CST7	1.154879737	0.087538371
MAP2	0.180574599	0.740090687
PIAS2	0.416544158	0.060248437
AMPH	0.971780528	0.291466942
MCCC1	0.083209083	0.714334982
NEBL	0.234421873	0.695648419
UBE2K	0.122659851	0.601152024
PIK3C3	0.133735594	0.597828367
N4BP2	0.456448931	0.272459066
TIGAR	0.46729134	0.089185603
TULP3	0.082004223	0.82961433
PPP2R5C	0.765149444	0.093105884
HOXA9	1.69367879	0.244684425
MLLT10	0.213172438	0.310302317
ZCWPW1	0.424059838	1
P2RY10	1.203466248	0.089931928
ITM2A	0.338026317	0.477464679
PCM1	0.385879034	0.302892622
TNRC6C	0.884248068	0.02834727
CBFA2T2	0.270866328	0.173564898
ITCH	0.390942402	0.090025678
PKD2L2	0.711382684	0.133070401
TP53INP2	0.206676809	0.54604219
MYH7B	0.695983312	0.048254588
BPIFB2	0	1
RUNX1T1	0.96283666	0.301337877
THOC1	0.378124505	0.292607657
LXN	0.579226528	0.187874845
SP140	0.761006889	0.233563641
SAR1A	0.044300889	0.803630432
CDC14A	0.739484649	0.143171712
CEACAM1	0.660631572	0.072816176
SENP1	0.45770613	0.049378734
DUSP13	4.034620852	0.037547444
AFM	0	1
KIF22	0.656866657	0.174007081
STX7	0.145619627	0.733025011
RABL2B	0.284935055	0.290973418
DDX43	0.345542342	0.73663069
PTPRH	0.174075476	0.751241322
DCT	0.382799168	0.675937737
RFX3	0.16584116	0.667138727
RIF1	0.089660902	0.822716646
RAB21	0.123676268	0.751189542
SLC4A4	0.730867968	0.044080879
SMARCA2	0.551393108	0.140389778
SESN1	0.077657325	0.754154131
MID2	0.951319346	0.043987481
DNAAF6	0	1
SRCAP	0.107860011	0.67060772
PUM3	0.261411349	0.431117617
CHRNA3	0.368459176	0.748474181
KCNN2	1.884995082	0.151420575
CNOT4	0.600379776	0.050361096
CLDND1	0.061537898	8.00E-01
RBL1	0.444303004	0.132891218
IGSF9B	0.952960078	0.214572364
CFHR2	0	1
NDC80	0.034413048	0.955587598
AP4E1	0.149380928	0.616327172
RSBN1	0.701847977	0.067564451
MAGI3	0.023510241	0.931905952
COL4A4	0.068177628	0.902893236
TCF7	0.853764832	0.067449174
IMPG2	0.707287291	0.25758902
PCNP	0.30693834	0.370030981
PTPRC	1.032463937	0.088352389
PKP1	1.128293845	0.718767275
STK17B	0.804019869	0.100470285
ZNF510	0.715021141	2.81E-02
ZNF506	0.798208537	0.056024594
DUSP12	0.172164383	0.582761166
DELE1	0.052358533	0.837343407
SLC13A1	0.495355393	0.875464745
PCDHB4	1.66211827	0.296757574
PCDHA6	0.582499809	0.824982508
HSPB11	0.11397585	0.76187444
ATP8B1	0.309941336	0.439464754
IL12RB2	0.416271006	0.126029108
FYB1	0.881590456	0.106527497
MPP4	0.734185624	0.508667989
BZW1	0.076867165	0.799086284
C1QTNF3	1.508125923	0.075551217
C5orf22	0.229738788	0.393149075
CCNT2	0.714387914	0.078508931
FAM135A	0.24817677	0.503183266
COL19A1	1.854900872	1
DLG3	0.660254391	0.052485859
SERTAD4	0.848127474	0.556802196
TRAF5	0.512879835	0.216461128
GSK3B	0.042057891	0.779637907
RNF13	0.266883044	0.570689621
