"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KPNA5",-0.800249670734567,7.56435601738919,-1.79508966204547,0.0995880381402024,0.376518028290961,-5.01967545113899
"POLRMT",0.531283998094619,9.77475710189726,1.79508385459373,0.099589007152957,0.376518028290961,-5.01968403458703
"CASC3",-0.57927667876336,10.7584091515975,-1.79504972956927,0.099594701317683,0.376518028290961,-5.01973447127123
"LINC02701",-1.09748709053643,3.51059668728712,-1.79477794226412,0.0996400627878083,0.376638083753639,-5.0201361535478
"FCF1P5",1.1813781191217,0.590689059560852,1.79471453744377,0.0996506477856851,0.376638083753639,-5.02022985661382
"ABCC6P1",-2.20875448040578,4.42997519706603,-1.79456370350267,0.0996758325697782,0.376639467599217,-5.02045275994272
"OXCT2",1.18215186143539,2.80643905012786,1.79456289762463,0.0996759671429483,0.376639467599217,-5.02045395084699
"PAX6",2.53388774763501,2.18393637396174,1.79449504125377,0.0996872990350915,0.376639467599217,-5.02055422607435
"LILRB2",-0.81688639147384,8.44000480887024,-1.79434421282235,0.0997124912953208,0.376688945643126,-5.02077710648333
"PELP1",0.602910286512691,9.68221438017418,1.79422604248592,0.0997322328383432,0.376709990327292,-5.02095172066189
"ACAT1",-0.903275075528455,9.56393269066931,-1.79410148142778,0.0997530458510959,0.376709990327292,-5.02113577132843
"MIR221",-0.961470984411521,0.997727992349992,-1.79409365388483,0.0997543538933477,0.376709990327292,-5.02114733702719
"MGST2",-0.625917330244455,8.68667289566682,-1.79389966591419,0.0997867757333421,0.376786734125897,-5.02143395800377
"MAST2",0.803064180639872,9.54975251281561,1.79374341230464,0.0998128978518045,0.376794771592132,-5.02166481351061
"NT5DC2",0.799885336126746,10.0248045684108,1.79374217698072,0.0998131043951026,0.376794771592132,-5.0216666385855
"LINC01829",1.04576373809918,1.12288186904959,1.79339593151949,0.0998710111077473,0.376960517869559,-5.02217815680927
"MSMB",-1.91225834381053,3.15272788684413,-1.7932638427201,0.0998931098980075,0.376960517869559,-5.0223732812162
"SLC34A3",0.992694824794978,1.67772553151919,1.79326254697916,0.0998933267006937,0.376960517869559,-5.02237519527389
"CCDC88A",-0.679407532436031,10.3387918468399,-1.79303154200259,0.0999319851464632,0.377004759941706,-5.02271642190072
"C18orf63",-1.45984160367746,1.32992080183873,-1.79299765293112,0.0999376575881161,0.377004759941706,-5.02276647878792
"RARS1",0.569983924126749,9.68552798575944,1.79297546863288,0.0999413710121639,0.377004759941706,-5.02279924650457
"PCSK6",-1.37834130740096,6.51986029405826,-1.79250764051149,0.10001970977185,0.377254573921441,-5.02349020919361
"TFEC",-1.05752428355264,8.17242162092281,-1.79225288474854,0.100062392534657,0.377349602866561,-5.02386643170147
"RPS27AP5",0.884581148522436,2.77106181221616,1.79221262076511,0.100069140028004,0.377349602866561,-5.02392589076832
"TUBB8P1",1.09837061926593,1.4661778097772,1.79211379915801,0.10008570243577,0.377366360800322,-5.02407182061034
"RNF38",-0.683313674474185,9.34022746165515,-1.79166268110129,0.100161340950529,0.377572325082341,-5.02473793102028
"PARD6BP1",1.07846348455575,0.539231742277876,1.79164337824279,0.100164578596828,0.377572325082341,-5.02476643113919
"TMEM169",-1.32556289105424,3.51531787399955,-1.79147906733032,0.100192142116878,0.377630513861,-5.02500902475234
"CMAHP",-1.30515887575402,8.34041196344754,-1.79058161340705,0.100342813317594,0.378152633027941,-5.02633383956767
"SPATA31H1",0.975946546055347,4.37570890564886,1.79047037427574,0.100361503257499,0.378154160151203,-5.02649802481232
"GNG12-AS1",-0.829010066560656,3.61784928325779,-1.79037964348968,0.10037674980497,0.378154160151203,-5.02663193631759
"PCDHA1",-0.916992500144232,0.975488750216347,-1.79030155933195,0.10038987287257,0.378154160151203,-5.02674717943983
"RABL3",-0.624886306551669,8.51124540520403,-1.79029013355146,0.100391793255298,0.378154160151203,-5.02676404233184
"TBCEL",-0.882799510988198,8.63322404586553,-1.79014598127053,0.100416024441351,0.378199685668079,-5.02697678639035
"MYL12B",-0.78060904084959,12.8097824083861,-1.78951942021421,0.100521407395813,0.378532899893773,-5.02790137485131
"ZNF214",-1.77741642290567,3.43767497895274,-1.7894754416231,0.100528808032161,0.378532899893773,-5.0279662655015
"C17orf78",1.14739311883324,1.29068905956085,1.7889708766712,0.100613750611832,0.378700891927,-5.02871069173754
"PTGDR",-1.3017286069674,4.36872430871423,-1.78894713887456,0.100617748426795,0.378700891927,-5.02874571125032
"SCNM1",0.701807016158922,9.13771753212633,1.78887004896617,0.100630732561326,0.378700891927,-5.02885943745938
"TUFM",0.606528533095865,11.3499409012704,1.78876184997532,0.100648958910392,0.378700891927,-5.02901905256892
"TBC1D12",-0.733676983337284,7.70356800663541,-1.78875898510727,0.100649441544108,0.378700891927,-5.02902327874975
"IGF2BP1",2.5879811305673,3.04496806571634,1.78873217699305,0.100653957909459,0.378700891927,-5.02906282522264
"RAB4B",0.891913308904769,4.23400216565088,1.78870491374576,0.100658551139363,0.378700891927,-5.02910304276237
"SEPSECS-AS1",-0.788453100572344,5.01214949053227,-1.78818411479942,0.10074633023658,0.378985349549059,-5.02987123831025
"SAMD14",-1.11403347812245,6.31110719566486,-1.78802756169167,0.100772730340592,0.379038872183361,-5.03010213547157
"ARL1",-0.524583382733118,10.1712995892846,-1.78761893199795,0.100841668530262,0.379167515162645,-5.0307047636486
"RAB27A",-0.595759952781856,10.1534112941675,-1.78761269337525,0.100842721352843,0.379167515162645,-5.03071396349933
"SH3GL1P1",1.01620731441818,2.6708598954525,1.78760831339251,0.100843460519493,0.379167515162645,-5.0307204224766
"PARP4",-0.747450117513575,10.3897611636416,-1.78738750273652,0.1008807309231,0.379261856929292,-5.03104603153645
"DCTPP1",0.914022984023372,9.02056737513411,1.7871416430357,0.100922244004545,0.379372124372469,-5.03140855231739
"PMPCA",0.55103874212652,9.71875516334872,1.78691239962794,0.100960965381789,0.379471872297996,-5.03174654784352
"DDX19A",0.493749066640095,7.73203546877557,1.78656025106662,0.101020472803511,0.379623075774226,-5.03226570817411
"EIF4EBP1",1.01652431407795,9.35663749532771,1.78653006195998,0.101025575752762,0.379623075774226,-5.03231021232388
"INSL3",1.25984160367746,1.74691330198296,1.78642213349967,0.101043821111382,0.379637828716142,-5.03246931484982
"EPN3",1.8896287669305,5.36020567913716,1.78636261236344,0.101053884464615,0.379637828716142,-5.03255705557251
"ZHX1",-0.92051769800241,9.40985955217598,-1.78625012514203,0.101072905373861,0.379663482912188,-5.03272286979582
"REXO6P",-1.41127335220491,2.2344079140574,-1.78584935831645,0.101140698970153,0.379872315273255,-5.03331358251821
"UTP23",-0.492045442276757,8.40423002605264,-1.7855798491671,0.101186312204146,0.379997800535107,-5.03371078651921
"GALR2",1.69837061926594,2.07504191302196,1.78550554272729,0.101198891515641,0.379999214011464,-5.03382029398854
"ATP13A2",0.588022125775712,9.93190944882974,1.78540795823912,0.101215413710227,0.380015430785686,-5.03396410318854
"CDK8P2",1.98614746751258,0.993073733756289,1.78519771976433,0.101251017839245,0.380103278542989,-5.03427391476933
"DHCR7",0.748904033727577,9.68196886311458,1.78493637940556,0.101295291936623,0.380201351516873,-5.03465900333678
"IMPDH1P10",1.04576373809918,0.922881869049588,1.78485463931031,0.101309143256984,0.380201351516873,-5.03477944215885
"CCDC183",0.922134770771802,3.90473840759729,1.78482733476215,0.101313770548716,0.380201351516873,-5.03481967299989
"MRPS25",0.549644314621291,8.74224789755425,1.78464853988429,0.101344075578921,0.380269250937172,-5.03508310316279
"CCDC71",-0.475179773151,8.64802229822836,-1.78435889584755,0.10139318651875,0.38040769014384,-5.03550982404548
"DHRS13",0.676303757524628,6.55460549098854,1.78423679964278,0.101413895139285,0.380439548805846,-5.03568969212896
"CLC",-2.6246074146791,4.55122430237115,-1.78404105905238,0.101447102501469,0.380517116885877,-5.03597803665359
"ZNF295-AS1",-0.6,2.0813781191217,-1.78397087501921,0.101459011608973,0.380517116885877,-5.03608142020738
"SLC39A4",1.18561487383361,9.06683407450512,1.78383842177451,0.101481490252554,0.380553848572279,-5.03627652245047
"MUC5B",2.41194322803854,6.37406279704602,1.78370599214449,0.101503969394346,0.380553848572279,-5.03647158199714
"PER2",-0.815189054422019,8.63233529894689,-1.78367866023496,0.101508609384334,0.380553848572279,-5.03651183899578
"ZAR1",-1.31774292711645,1.77586396370246,-1.78362518284188,0.10151768850642,0.380553848572279,-5.03659060453876
"CAPN8",-1.52210695834021,7.41827743256774,-1.783374492108,0.101560259312836,0.380667606524039,-5.03695982357889
"LAMA4-AS1",-1.00447356260569,2.3807002658586,-1.78311612538504,0.101604150513805,0.380692626753707,-5.03734031818862
"C20orf141",1.27846348455575,0.639231742277876,1.7830797170078,0.101610336929144,0.380692626753707,-5.03739393409274
"NOP53",-0.550423521778583,12.9159576147572,-1.78307884607398,0.101610484920093,0.380692626753707,-5.03739521664474
"GPR108",-0.565018387547868,10.1781703021946,-1.78294112453699,0.101633889314283,0.380692626753707,-5.03759802342203
"KIR3DX1",-1.24046929582694,2.07359195605245,-1.78294099867339,0.10163391070577,0.380692626753707,-5.03759820876306
"LPIN2-AS2",1.03398500028846,0.516992500144231,1.78290349003865,0.101640285768475,0.380692626753707,-5.03765344195937
"MROH3P",1.26438561897747,0.949185309632967,1.78261593450435,0.10168917145805,0.380829921732252,-5.0380768596541
