"","NM001","NM002","NM003","NM004","NM005","TB001","TB002","TB003","TB004","TB005","AD001","AD002","AD003","AD004","AD005","SA001","SA002","SA003","SA004","SA005"
"AATF",65.9166772108082,58.584952099379,39.4968134222554,23.1488453788736,64.6175798776311,51.905137855349,41.4656549542247,26.7513669984735,46.1707324089803,55.8988754928289,39.4110829523941,54.5905622940616,72.6934304020218,124.201089487479,98.5144850371527,49.9238888545947,44.0437001741956,45.0326033988358,105.751091014165,82.5127587398548
"AATK",60.1553541403059,31.7374033485551,13.5778247425587,15.7794496654527,39.0969740846357,9.51581008743721,9.93623210014922,3.56847903838184,12.1730562654489,22.5532600983221,5.82399187649328,2.41049104087124,0.716153792994729,0.404637143406341,1.33457011773899,10.7888264543905,19.2318947183141,35.2360153361673,31.5354443594396,23.7673803772891
"ABAT",6.47210365066061,6.16510092942873,4.34951264928389,4.34817616836309,6.90825439899938,6.11525162872303,4.54954237364148,1.99667706550697,5.19185265347814,4.00443066558049,6.28568555565096,53.6151985013706,1.26656020158457,0.459400994127839,9.33073175739323,4.43584937190929,3.12172230594864,4.94568634748638,13.5721837610199,21.0559758084095
"ABCA1",28.6000108877304,14.8835893737905,11.3864781089145,4.15877556838993,13.0024589310962,41.4097397327831,28.6093067538691,12.9188283606181,40.2743251818363,35.7622522412763,22.8449042596942,7.3539070695766,15.2983638980339,0.97359226964164,18.8299821615158,19.7430416606734,27.7388913690185,16.0666768898921,9.93018225994466,14.4861215629106
"ABCA10",2.06285688342261,4.32472273431734,0.898382326359026,0.876267828590626,2.65895471100047,0.950786539413137,51.4017133775816,11.0163001298006,1.83387301022297,3.02237388468747,1.48253756249511,0,1.30109002164356,0.128013175335341,0.49122713809685,5.07241073174787,3.72349068154819,0.660678886022016,0.559246717560178,0.942958533318816
"ABCA12",0.0336710687486829,0.0157083188264484,0.0252717992716548,0.0120680876553358,0,0.0919799659401142,0.0577232768402643,0.099306381940303,0.0454614572454382,0,0.620285236924208,0.40686085053662,1.07815656128203,0.0423123845174922,7.0850632928311,0.0783453941508418,0.078893005895808,0.192170150575166,0.761141484258069,0.222626772268434
"ABCA13",1.08460904067651,0.089603240130868,0.0975167209264711,0.0485920014610684,0.216998930651821,0.344636985058088,0,0.0721962012586695,0.13728748456156,0.106413211518733,1.26127316190107,0.0707872856871731,2.82908599494575,0.0745369966803699,5.32917342886923,0.0262880610953196,6.43264911862481,0.574466101444506,0.0802666465881206,0.0971104189411826
"ABCA2",22.2563918119148,21.3042103287954,5.6403001820976,6.13080862873313,20.0097739009513,19.4785422364372,44.5907783711765,16.1740569035839,20.967372502084,22.3566495751107,16.5276683520444,12.3000668926958,6.98397208307293,1.59404557340479,20.8782020556667,21.2867676562477,16.8242095246518,12.3054557296895,29.5187862396175,29.3039382228044
"ABCA3",340.002807126948,254.209736479309,106.405079182901,101.150948817847,181.589734580961,330.323431172147,11.1646131939657,6.57855392903123,168.605380401062,43.0146152796391,420.116062295881,187.4652944186,6.46686224222566,0.751895623283744,2.95485075843532,154.176878983504,115.840068000184,10.1116052889109,4.41651135700668,104.085842705266
"ABCA4",0.220024444190868,0.328468492141694,0.115597444826178,0.15771844360692,0.455104597231378,0.32055754505403,0.402340482022716,0.216306682096589,0.198046022579859,0.165788530740594,0.98899774714905,26.2713260739933,0.205816032757492,0.0967719686704475,0.27006888992455,0.409559956213216,0.185590198067068,1.27857232278767,2.07474265290075,2.73494923871985
"ABCA5",7.09395110359348,3.05491330777071,1.6638626552725,1.98025639629556,3.25849894876099,5.31050783998763,12.1223846807724,24.6104706280358,4.02153028458893,3.09988606796066,5.83052115347803,2.1979235624688,7.92669769904648,0.39643974461631,2.55662223417522,7.18968100309938,8.64636805389967,1.78723875523191,5.48484867172363,7.71207865172988
"ABCA6",16.2327309085509,13.1643557730831,4.57669054976167,5.09451141244145,12.0122200073074,10.090205062534,34.725215754754,14.8421814433742,7.68414435194148,10.9321839300245,2.47907009453235,1.31743003917794,1.78534114591644,0.118904256609162,2.54406947146453,15.7929908373648,21.4015736245715,0.981868081550559,1.65681709396792,4.75467551200482
"ABCA7",16.5402973964643,14.3546639436774,7.65265667025626,8.02340939920245,12.6315859130165,12.9773550722674,21.7780638258215,9.60056355986565,14.9696520523252,12.5058044374386,19.7013957913078,20.7670899088301,6.96166701470172,12.0297822517144,23.3417767787515,16.3854371419643,10.2142650562186,70.2298944792573,42.7018006115995,25.797290203636
"ABCA8",21.0177297324875,27.065727535373,8.19329135938217,6.65661493786608,24.4393684829777,11.3880146576715,57.2347090405636,32.0775908242155,9.29676314683519,12.6730198241064,3.59372201146672,0.693649866038613,0.346118249833866,0.0587672981202486,0.574022282985402,17.8204977609759,24.3316451617279,0.831906792555972,1.25994150662607,3.32173829805902
"ABCA9",5.98943764650768,11.2788135681529,1.80471003109478,1.06550611880562,4.26306221416489,1.89092445570781,44.818853272089,11.9054071717422,4.52541605608727,4.20009598811148,0.757055777004034,0.0978274475172033,0.692074869369093,0.0412038069269275,0.709108678131611,6.93755475503987,5.83877767020835,0.544393669510462,0.649432119147076,2.08122227571943
"ABCA9-AS1",0.308286639967625,0,0,0.220986759990729,0,0.842153091595099,2.46635484773389,0.909232523749792,0.277491635461798,0.290367675255036,0.454338180804829,0,1.77463731495443,0.387405073158721,0.540580394801174,0,0,0,0,0.407666653540114
"ABCB1",5.42950513181656,5.74492019930518,1.82749851426345,1.44445017084028,2.86690203259355,15.0867367706595,6.36523454478638,2.00853952000482,4.63523260957468,11.1768117901675,5.07327214598054,0.701409723340842,0.805533167610805,0.334112498869833,0.53982971902294,24.01629440304,23.7120194059224,1.07454988379795,1.48222050628274,2.55363071104011
"ABCB10",19.1132740847791,11.8440695780117,7.07506591191105,12.394995181876,10.1961836688455,13.3492441368034,13.7807387553067,12.3942177143483,10.332831019112,9.15095603249945,7.81977445855988,6.72918098101118,11.2354974553764,2.32554207474332,11.8393020271372,11.0340270556266,10.7588469165448,2.52045677404628,27.2663453379784,17.9331654316524
"ABCB11",0,0.039366366453198,0.0316666258831137,0,0,0.0768365069395502,0.554527624967589,0.0622175336806413,0,0,0.139903821604627,0,0,0.0132547987218377,0.536372029827909,0.0589020415896333,0.276797499528932,0.131343965272444,0.027249778489148,0.0278960695802014
"ABCB4",0.0591611714908518,0.202400227912164,0.0296022531341289,0.113088136472751,0.077695612909131,1.11332583773902,0.85644982254444,2.69481722028044,0.710020182712918,0.835836990842376,1.03173554720069,0.264765870677675,0.241228907278313,0.0371721232745862,0.138318760509302,0.71580821309985,0.665364467434186,0.736689280756329,0.305680122787512,0.365085033906643
"ABCB5",0.354864903670657,0.194767697308255,0.0783363612197819,0.0149632412577876,0.0616817061572749,0.0380153691441599,4.62826987424681,0.266781975184483,0.0375784892145314,0,0.184582238654266,0.018683978583296,0.0450609455457585,0,0,0.271993623950196,0.0195639129327849,0.433221960373421,0.0539280313289896,0.138017646168746
"ABCB6",0.486948058499199,0.201930965638787,0.162434913842039,0.0775678358893631,0.479627011770595,0.197067591456034,2.41161264761401,0.7978667951697,0.779211411256486,0.509605013954308,0.5182961898141,0.726418039819018,0.895432561308175,0.169977225890949,1.37566826307876,0.3524964347972,0.101417223820692,0.336866418314527,7.40826377221851,4.07817134519608
"ABCB7",12.8074816401784,8.97065680431894,6.71568503963903,8.95431618479952,9.67720417413577,10.0646000054287,10.1860876941603,12.5565770048092,9.91735176470237,9.08860302362471,7.60173529454975,22.675836021081,6.38787363649227,5.95271712521687,8.890871048206,10.4178504849033,13.1544429591148,2.40315151084879,11.1953654139634,11.043285970131
