"Transcript_id","H1","L1","H2","L2","H3","L3","H4","L4","H5","L5","hgnc_symbol","ensembl_gene_id","transcript_biotype"
"ENST00000535047.5",0.058318,0.093684,0.04826,0.001821,0.073836,0.065693,0.004781,0.052415,0.060539,0.054399,"PPFIBP1","ENSG00000110841","protein_coding"
"ENST00000535055.5",0,0,0,0,0,0,0.110037,0,0,0,"ASB8","ENSG00000177981","protein_coding"
"ENST00000535067.5",0,0,0,0,0,0,0,0,0,0,"PUS1","ENSG00000177192","protein_coding"
"ENST00000535082.1",0,0.121538,0,0.039304,0.074237,0.031999,0.044737,0.039214,0,0,"","ENSG00000256734","processed_pseudogene"
"ENST00000535102.6",0,0,0,0,0,0,0,0,0,0,"TBC1D17","ENSG00000104946","protein_coding"
"ENST00000535107.5",0.608793,0.371482,0.43569,0.091471,0.395926,0.425058,0.153471,0.180731,0.330998,0.669572,"LAMTOR1","ENSG00000149357","protein_coding"
"ENST00000535121.5",0,0,0,0,0,0,0,0,0,0,"GNAL","ENSG00000141404","protein_coding"
"ENST00000535126.1",0.285022,0.122537,0.075118,0.163392,0.142889,0.107391,0.064354,0.100348,0.062684,0.086943,"TRMT112","ENSG00000173113","retained_intron"
"ENST00000535129.5",0.170324,0.090288,0.135131,0.183191,0.023078,7.3e-05,0.147087,0.231916,0.006031,0.002681,"PLEKHB1","ENSG00000021300","protein_coding"
"ENST00000535136.1",3.427281,3.593777,1.746156,1.989751,2.911544,2.928063,2.106279,1.174882,2.350746,1.514068,"TAS2R18P","ENSG00000256981","unprocessed_pseudogene"
"ENST00000535141.6",0,0,0,0,0,0,0.315969,0.11653,0.18239,0.150114,"ZWILCH","ENSG00000174442","protein_coding"
"ENST00000535149.5",0,0,0.65229,0,0,0.000218,0.003509,0.012428,0,0.040804,"NONO","ENSG00000147140","protein_coding"
"ENST00000535157.5",0.009466,0.3631,0,0.225685,0,0.129714,0.329953,0.140509,0,0.001656,"SCEL","ENSG00000136155","protein_coding"
"ENST00000535159.5",0,0,0,0,0,0,0,0,0,0,"PRRT4","ENSG00000224940","protein_coding"
"ENST00000535170.5",0.006015,0,0,0,0,0.006117,0,0,0,0.005106,"ZKSCAN1","ENSG00000106261","protein_coding"
"ENST00000535180.5",0.79851,0.256108,0.095228,0,0,0,0.237399,0,0.289061,0,"VAMP1","ENSG00000139190","protein_coding"
"ENST00000535183.5",0.280442,0.141902,0.07006,0.114429,0.191367,0.442882,0.243134,0.153616,0.281662,0.05082,"DAP3","ENSG00000132676","protein_coding"
"ENST00000535187.5",0,0,0,0,0,0,0,0,0,0,"RAPGEF4","ENSG00000091428","protein_coding"
"ENST00000535189.5",0,0,0,0,0,0,0,0,0,0,"IKZF3","ENSG00000161405","protein_coding"
"ENST00000535191.5",0,0,0,0.725007,0,0,0,0.794977,0,0,"NEK4","ENSG00000114904","protein_coding"
"ENST00000535215.5",0,0,0,0,0,0,0,0,0,0,"TSPAN11","ENSG00000110900","protein_coding"
"ENST00000535223.5",0.714604,0.520503,0.432221,0.331189,0.756344,0.219992,0.116637,0.308128,0.37711,0.316928,"PPOX","ENSG00000143224","protein_coding"
